respondent_id,district,connection,monthly_data_mb,primary_device
R0001,Boeny,3g,1000,feature-phone
R0002,Analamanga,none,100,android-mid
R0003,Menabe,2g,300,feature-phone
R0004,Analamanga,shared-wifi,1000,feature-phone
R0005,Atsinanana,2g,1000,feature-phone
R0006,Menabe,2g,300,feature-phone
R0007,Menabe,none,1000,feature-phone
R0008,Atsinanana,2g,200,android-mid
R0009,Vakinankaratra,3g,100,android-mid
R0010,Menabe,3g,100,android-entry
R0011,Boeny,2g,100,feature-phone
R0012,Menabe,3g,1500,shared-desktop
R0013,Boeny,shared-wifi,1500,android-mid
R0014,Boeny,3g,200,android-entry
R0015,Analamanga,none,500,shared-desktop
R0016,Boeny,shared-wifi,500,feature-phone
R0017,Analamanga,none,1000,android-entry
R0018,Boeny,3g,1500,shared-desktop
R0019,Analamanga,2g,750,android-mid
R0020,Sava,4g,1500,shared-desktop
R0021,Analamanga,2g,500,shared-desktop
R0022,Sava,2g,50,android-mid
R0023,Sava,none,1500,android-mid
R0024,Sava,shared-wifi,750,feature-phone
R0025,Vakinankaratra,4g,200,feature-phone
R0026,Vakinankaratra,2g,300,android-mid
R0027,Atsinanana,3g,1000,shared-desktop
R0028,Vakinankaratra,2g,200,shared-desktop
R0029,Vakinankaratra,none,500,android-entry
R0030,Vakinankaratra,none,500,shared-desktop
R0031,Boeny,shared-wifi,300,android-entry
R0032,Analamanga,3g,200,android-entry
R0033,Sava,3g,50,shared-desktop
R0034,Menabe,3g,500,android-mid
R0035,Analamanga,3g,1000,android-mid
R0036,Menabe,none,750,android-entry
R0037,Sava,none,50,shared-desktop
R0038,Sava,none,1000,shared-desktop
R0039,Vakinankaratra,shared-wifi,100,shared-desktop
R0040,Sava,shared-wifi,50,android-entry
R0041,Analamanga,3g,1500,android-entry
R0042,Analamanga,4g,50,feature-phone
R0043,Analamanga,none,200,feature-phone
R0044,Boeny,none,50,feature-phone
R0045,Atsinanana,none,1000,android-entry
R0046,Sava,4g,750,android-mid
R0047,Vakinankaratra,2g,100,shared-desktop
R0048,Vakinankaratra,shared-wifi,1500,android-mid
R0049,Analamanga,3g,100,android-mid
R0050,Sava,4g,1500,android-entry
R0051,Menabe,2g,300,android-mid
R0052,Atsinanana,none,50,android-mid
R0053,Sava,2g,500,android-mid
R0054,Atsinanana,4g,300,android-mid
R0055,Sava,3g,300,android-entry
R0056,Vakinankaratra,3g,300,shared-desktop
R0057,Boeny,2g,50,android-mid
R0058,Vakinankaratra,4g,300,android-mid
R0059,Vakinankaratra,4g,750,feature-phone
R0060,Atsinanana,2g,300,shared-desktop
R0061,Atsinanana,4g,300,shared-desktop
R0062,Menabe,none,50,shared-desktop
R0063,Sava,4g,100,feature-phone
R0064,Vakinankaratra,3g,1500,android-entry
R0065,Vakinankaratra,4g,100,shared-desktop
R0066,Vakinankaratra,shared-wifi,100,android-entry
R0067,Atsinanana,3g,50,android-entry
R0068,Menabe,shared-wifi,200,shared-desktop
R0069,Sava,4g,200,android-entry
R0070,Analamanga,2g,100,android-entry
R0071,Vakinankaratra,3g,300,feature-phone
R0072,Boeny,3g,500,android-entry
R0073,Menabe,4g,500,shared-desktop
R0074,Atsinanana,2g,750,shared-desktop
R0075,Sava,none,1000,android-entry
R0076,Menabe,3g,50,shared-desktop
R0077,Atsinanana,none,50,android-entry
R0078,Atsinanana,3g,1500,feature-phone
R0079,Menabe,2g,750,shared-desktop
R0080,Analamanga,none,50,android-entry
R0081,Atsinanana,4g,50,feature-phone
R0082,Menabe,shared-wifi,50,feature-phone
R0083,Vakinankaratra,4g,300,android-mid
R0084,Vakinankaratra,none,1500,android-entry
R0085,Sava,none,500,android-entry
R0086,Vakinankaratra,3g,1000,feature-phone
R0087,Vakinankaratra,shared-wifi,750,feature-phone
R0088,Sava,3g,1000,feature-phone
R0089,Atsinanana,4g,100,android-entry
R0090,Sava,4g,200,android-mid
R0091,Atsinanana,shared-wifi,300,feature-phone
R0092,Vakinankaratra,shared-wifi,200,android-entry
R0093,Atsinanana,shared-wifi,1000,android-mid
R0094,Vakinankaratra,3g,750,android-mid
R0095,Analamanga,4g,50,android-mid
R0096,Menabe,shared-wifi,1500,feature-phone
R0097,Vakinankaratra,4g,500,feature-phone
R0098,Analamanga,3g,100,feature-phone
R0099,Boeny,4g,50,android-entry
R0100,Boeny,3g,1000,android-mid
R0101,Vakinankaratra,3g,1500,android-mid
R0102,Analamanga,4g,50,android-entry
R0103,Vakinankaratra,2g,500,feature-phone
R0104,Sava,2g,500,feature-phone
R0105,Menabe,3g,100,android-mid
R0106,Analamanga,shared-wifi,50,android-mid
R0107,Menabe,shared-wifi,500,android-entry
R0108,Analamanga,none,300,feature-phone
R0109,Atsinanana,4g,50,android-entry
R0110,Atsinanana,4g,500,android-entry
R0111,Boeny,shared-wifi,200,android-mid
R0112,Boeny,2g,500,feature-phone
R0113,Analamanga,2g,300,shared-desktop
R0114,Atsinanana,shared-wifi,100,shared-desktop
R0115,Sava,shared-wifi,1000,android-mid
R0116,Sava,3g,300,android-mid
R0117,Atsinanana,3g,1000,android-mid
R0118,Analamanga,3g,50,feature-phone
R0119,Sava,4g,1000,android-entry
R0120,Analamanga,2g,1000,android-mid
