respondent,region,connection,monthly_allowance_mb,plates_opened
R001,Boeny,3G,1500,10
R002,Analamanga,2G,2000,1
R003,Boeny,2G,2000,3
R004,Analamanga,2G,1500,6
R005,Analamanga,3G,200,8
R006,Haute Matsiatra,2G,2000,1
R007,Atsinanana,2G,2000,9
R008,Haute Matsiatra,2G,500,0
R009,Vakinankaratra,3G,1000,6
R010,Atsinanana,2G,2000,4
R011,Vakinankaratra,3G,200,9
R012,Vakinankaratra,3G,1000,1
R013,Vakinankaratra,2G,2000,0
R014,Vakinankaratra,3G,1500,10
R015,Vakinankaratra,fixed-wireless,1000,7
R016,Vakinankaratra,fixed-wireless,1000,4
R017,Atsinanana,3G,500,1
R018,Vakinankaratra,4G,2000,7
R019,Boeny,fixed-wireless,1000,9
R020,Analamanga,2G,2000,6
R021,Atsinanana,4G,500,7
R022,Haute Matsiatra,2G,200,12
R023,Vakinankaratra,4G,1000,11
R024,Boeny,fixed-wireless,2000,12
R025,Haute Matsiatra,2G,200,4
R026,Haute Matsiatra,2G,200,11
R027,Boeny,fixed-wireless,1000,11
R028,Haute Matsiatra,4G,200,7
R029,Boeny,3G,2000,1
R030,Haute Matsiatra,2G,500,12
R031,Boeny,3G,500,6
R032,Haute Matsiatra,fixed-wireless,200,2
R033,Haute Matsiatra,fixed-wireless,2000,4
R034,Atsinanana,fixed-wireless,2000,4
R035,Haute Matsiatra,4G,1500,3
R036,Atsinanana,2G,500,2
R037,Atsinanana,3G,200,7
R038,Vakinankaratra,3G,1000,4
R039,Analamanga,3G,1500,8
R040,Boeny,4G,500,11
R041,Vakinankaratra,2G,1500,12
R042,Vakinankaratra,fixed-wireless,1500,6
R043,Haute Matsiatra,2G,1500,10
R044,Haute Matsiatra,2G,500,1
R045,Atsinanana,fixed-wireless,500,1
R046,Boeny,2G,200,0
R047,Vakinankaratra,3G,2000,1
R048,Boeny,2G,200,3
R049,Vakinankaratra,fixed-wireless,500,10
R050,Boeny,4G,2000,5
R051,Haute Matsiatra,2G,200,7
R052,Haute Matsiatra,fixed-wireless,1500,4
R053,Analamanga,3G,200,11
R054,Boeny,4G,1500,11
R055,Atsinanana,2G,500,8
R056,Boeny,3G,2000,0
R057,Vakinankaratra,4G,200,11
R058,Boeny,4G,500,5
R059,Atsinanana,4G,500,9
R060,Atsinanana,3G,1500,11
R061,Atsinanana,3G,2000,7
R062,Boeny,2G,200,12
R063,Boeny,fixed-wireless,1000,3
R064,Vakinankaratra,4G,1500,12
R065,Boeny,4G,200,3
R066,Analamanga,3G,1500,3
R067,Boeny,3G,1500,9
R068,Vakinankaratra,2G,1500,10
R069,Boeny,2G,200,6
R070,Atsinanana,fixed-wireless,500,6
R071,Boeny,2G,1500,7
R072,Haute Matsiatra,2G,500,2
R073,Atsinanana,2G,500,9
R074,Haute Matsiatra,3G,2000,9
R075,Haute Matsiatra,4G,500,8
R076,Vakinankaratra,3G,200,0
R077,Analamanga,3G,1500,3
R078,Atsinanana,2G,1000,3
R079,Boeny,3G,2000,5
R080,Boeny,fixed-wireless,500,0
